run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round,CT_one_prop_BEM,CFt_thrust_BEM,Tc_star_BEM,CFt_aero_BEM,CD_aero_BEM,CL_aero_BEM,CYaw_aero_BEM,CT_one_prop_EXP,CFt_thrust_EXP,Tc_star_EXP,CFt_aero_EXP,CD_aero_EXP,CL_aero_EXP,CYaw_aero_EXP,CT_propoff_inv,delta_CT,delta_T,CT_one_prop_delta,CT_both_prop_delta,propoff_match_found,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_aero_EXP_uncorrected,CYaw_aero_EXP_uncorrected,CL_aero_EXP_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected,matched_fit_velocity,velocity_match_error,fit_found,fit_match_type,matched_fit_AoS,matched_fit_dR,matched_fit_source_row,CD0_fit,k_fit,esb,CL2_fit,CDi_fit,CDsep_fit,ewb,ess,e_total_blockage,V_FINAL,J_blockage_corr,CL_aero_EXP_blockage_corr,CD_aero_EXP_blockage_corr,CYaw_FINAL,CMpitch_blockage_corr,CMroll_FINAL,CMyaw_FINAL,CFt_FINAL,CL_alpha_per_deg_tailoff,delta_alpha_sc_rad,delta_alpha_sc_deg,AoA_sc_corr,delta_CL_sc,delta_CMpitch_sc,CL_FINAL,CMpitch_blockage_corr_sc_corr,streamline_curvature_data_found,delta_alpha_dw_deg,delta_alpha_dw_rad,delta_CD_dw,AoA_FINAL,CD_FINAL,downwash_data_found,CLw_tailoff,delta_alpha_tail_rad,delta_alpha_tail_deg,delta_CMpitch_tail,TAILONLY_AoA_tail_corr,CMpitch_FINAL,tail_correction_data_found
4.0,17.0,20.0,16.0,2.496,0.0,413.22,101106.0,290.81,788.1,1844.2,1294.7,283.5,422.4,-1323.6,0.0,1.2111837665772662,968.376508682172,39.98822250188802,443397.0123409999,98.44,98.43,6.44,7.87,0.0,21.129,21.653,28.525,28.589,101106.0,1.4878860687823469e-05,1.9991104588813853,1.9993135585927413,7.352540167190499,13.14918597295706,107.13484671210308,-2.542902906018317,-2.537051679296379,8.644608059925003,0.0349618126538645,0.0625252451647622,0.5094332508597899,-0.0086579981384831,-0.0731232540013728,0.0294328974628212,0.5104725077494743,0.0127430081841154,-0.0625252451647622,0.5094332508597899,0.0349618126538645,-0.0625252451647622,0.0081079636878203,-0.07608984467534341,-0.07608984467534341,0.026445392807218002,800.3666666666667,1849.4333333333332,1299.8666666666668,285.2333333333333,401.5,-1326.6999999999998,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,0.0,1.9991104588813853,2.0,0.20842110580285864,0.039656619544316735,0.13280310448371035,0.05239962772843214,0.07458080854965712,0.5077062193337745,-0.0625252451647622,0.15694778493628964,0.029862707865243063,0.10000500189791764,0.042605716049358464,0.05674618870369791,0.49532802490456257,-0.061044888021905094,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06479618870369791,-0.0625252451647622,0.5081327406668364,0.007674630354487,-0.0829773446753433,0.029795392807218,-0.0829773446753433,40.0,0.0,True,exact_AoS_exact_dR,0.0,-20.0,328.0,0.04019709559015745,0.06095841114194795,0.007219591,0.24534985225585496,0.014956137167428591,0.0015929559461118643,0.001263376729427498,-0.0018493787887190881,0.006633588940708411,40.25348793243513,2.012371735912675,0.48882123627549773,0.05600075247389619,-0.060242982691957325,-0.0750903039442971,0.008001454862806926,0.026097997601299026,0.02936243376653901,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5177632396418708,-0.001848882807338328,0.000462220701834582,0.4869723534681594,-0.07462808324246252,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8304046259957802,0.058736985959662404,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04289451054869,0.011103100231150104,True
1.0,17.0,17.0,7.0,2.496,4.0,413.81,101101.0,290.5,809.5,-428.2,696.7,860.7,460.6,-25.3,0.0,1.2124162911880931,969.769728920426,39.99663253237486,444308.8042373147,98.44,98.42,6.9,6.8,0.0,20.503,20.594,28.612,28.743,101101.0,1.4851449705370646e-05,1.9995308971718089,1.9999372233041337,7.603355027514802,-7.216187417281273,106.82648115503552,-5.022943558004886,-2.312526063937661,0.1588977406771972,0.0361025125137948,-0.0342641499169136,0.5072371813163812,-0.0170773952470912,-0.066556190140589,0.0005402329311643,0.5083281987643795,0.0139782638606351,0.0342641499169136,0.5072371813163812,0.0384047148818611,0.0316623002035607,-0.020599676921507,-0.072744290456031,-0.072744290456031,0.0065254273898312,827.2,-431.7,703.5,860.6,438.8,-26.9,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,4.0,1.9995308971718089,2.0,0.20826936314176822,0.039611084044726005,0.1326506140349693,0.05358934790536111,0.07788181941340874,0.5055121328450046,0.02890179213890883,0.15678871700010777,0.02981989742835348,0.09986163720903167,0.04379816128898858,0.06067375025514009,0.4969338197402916,0.023464499948728054,,,,,,False,0.00745,0.0061196428571428,0.0090047157622739,-0.0061333333333333,-0.0039875,-0.00715,True,0.06812375025514009,0.029584142805870853,0.5059385355025655,-0.0267330102548403,-0.076731790456031,-0.0006245726101688,-0.076731790456031,40.0,0.0,True,exact_AoS_exact_dR,4.0,-20.0,346.0,0.0441704734172974,0.05868081153313677,0.007219591,0.24694322120167664,0.014490828622721292,0.0020124482151213964,0.001422626278726912,-0.0018474778619482397,0.0067947394167786725,40.268399227981,2.0131171885738888,0.4902489578533301,0.05985755376275489,0.02314885038902242,-0.07176571843004628,-0.02032256558461254,0.006437645920505536,0.029311082752913734,0.08379140479445407,0.00038266663869872226,0.021925183357894326,2.517925183357894,-0.0018371419139339513,0.00045928547848348783,0.48841181593939614,-0.07130643295156279,True,0.3149678004688115,0.005497225155945301,0.0027771064875283815,2.8328929838267056,0.06263466025028327,True,0.5052205384122537,0.009615428259928071,0.5509640392938784,-0.08636912279970838,3.0469640392938784,0.015062689848145586,True
2.0,17.0,18.0,4.0,2.496,8.0,413.45,101104.0,290.63,508.3,-2894.0,101.3,1653.4,181.6,1226.0,0.0,1.211909932667162,968.9196246045556,39.98744921210356,443867.2703991036,98.42,98.43,7.98,6.06,0.0,20.618,20.945,28.89,28.665,101104.0,1.4862809760720225e-05,1.9994780330453228,1.999274895990253,4.792262915720875,-31.173048377339043,112.0740194845113,-7.826694062111748,-3.01456195211257,-8.001160292735243,0.0227747524649654,-0.1481468093170123,0.5326206212810651,-0.0266331516102841,-0.0868374181123607,-0.0272268359339839,0.5331071373955024,-0.0004422913531882,0.1481468093170123,0.5326206212810651,0.0431711609895367,0.1435354218284363,-0.0473048344472705,-0.1144690496971241,-0.1144690496971241,-0.009629311195327901,521.1,-2897.3,110.3,1651.4,156.0,1220.2,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,8.0,1.9994780330453228,2.0,0.20828844526085552,0.039616808075144824,0.13266978281482278,0.039174516721956626,0.08236520091703238,0.5308953235302214,0.1380270587416672,0.1567963813772777,0.029822932040811705,0.09987179959705132,0.029380640687623506,0.06982583958316396,0.5221171275486938,0.08106916681411935,,,,,,False,0.00285,0.0583196428571428,0.0092047157622739,-0.0198333333333333,0.0212125,-0.02055,True,0.07267583958316397,0.13938880967126216,0.5313218433109677,-0.0671381677806038,-0.0932565496971241,-0.0301793111953279,-0.0932565496971241,40.0,0.0,True,exact_AoS_exact_dR,8.0,-20.0,371.0,0.05594063441392008,0.0527568252102957,0.007219591,0.27260629487969895,0.014381842650194605,0.0,0.001467428236075295,-0.0018477168412507478,0.006839302394824547,40.260935469262826,2.0131530679451286,0.5150478989807884,0.06888042945598279,0.07997152714711722,-0.11291919079849139,-0.04666434849224216,-0.009498934698945076,0.029311461610096512,0.08577161475725736,0.00039371647014572423,0.022558292064138473,2.5185582920641383,-0.001934861136506981,0.00048371528412674526,0.5131130378442814,-0.11243547551436464,True,0.3240627691816536,0.0056559623053502655,0.002939804804868758,2.842621061245792,0.07182023426085155,True,0.5198092201222739,0.009893082099636307,0.5668736043091603,-0.08886310621150398,3.0628736043091602,-0.023572369302860663,True
3.0,17.0,18.0,49.0,2.496,10.0,413.27,101103.0,290.71,330.1,-3931.4,-197.7,2031.0,31.8,1709.0,0.0,1.211564445727421,968.4945769444824,39.98437706931307,443611.97787620977,98.43,98.43,7.14,7.02,0.0,20.79,21.22,28.855,28.611,101103.0,1.4870220568739444e-05,1.999121296346392,1.999121296346392,3.065151877192533,-41.8584898958199,113.32130386928944,-8.123402393455388,-3.16332361165506,-11.18160035468108,0.014573222189432,-0.1990156110386959,0.5387845712871872,-0.0276549405316352,-0.0911626352509436,-0.0380661301607249,0.5389080657471974,-0.0089044783516518,0.1990156110386959,0.5387845712871873,0.0489105203826623,0.1934615032454396,-0.06307752683451259,-0.1122826411828681,-0.1122826411828681,-0.021527214299849797,333.1,-3942.1,-187.5,2029.8,4.100000000000001,1705.3,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,0.0,40.0,2.5,10.0,1.999121296346392,2.0,0.20841719499802022,0.03965544547228053,0.13279917272116762,0.030750967120628733,0.08792645956911559,0.5370575908915871,0.18658194048918716,0.15693751115899085,0.02986042930085445,0.09999737138306158,0.020955950949202648,0.07203940340385778,0.52847944456262,0.12636157064858217,,,,,,False,0.00625,0.0619196428571428,0.0090047157622739,-0.0189333333333333,0.0170125,-0.0201499999999999,True,0.07828940340385779,0.18828121350572496,0.5374841603248939,-0.0820108601678459,-0.0952701411828681,-0.0416772142998497,-0.0952701411828681,40.0,0.0,True,exact_AoS_exact_dR,10.0,-20.0,389.0,0.05903268874274865,0.05113703453127525,0.007219591,0.2792905233252153,0.014282089135539472,0.0,0.0015485386467300733,-0.0018493297812776604,0.006918799865452413,40.26102097200044,2.0129528165025765,0.521241758017818,0.07105280188874458,0.1246310105500334,-0.1107448963005167,-0.062213660941625545,-0.02123239256006758,0.02934359644641166,0.08630268656025995,0.00039824623722809773,0.022817828600135766,2.518817828600136,-0.001969239909663252,0.000492309977415813,0.5192725181081548,-0.11025258632310089,True,0.32779115998003333,0.005721035000583052,0.003007839733395452,2.846608988580169,0.07406064162214003,True,0.52578970321853,0.01000690349405642,0.5733955702094329,-0.08988548958603071,3.0693955702094327,-0.020367096737070184,True
1.0,12.0,48.0,53.0,-4.996,0.0,414.34,101170.0,290.45,-619.2,925.6,-346.6,-912.5,45.0,-701.9,0.0,1.2134526039979827,971.0212932130448,40.00533998428826,444844.7576862209,123.02,123.03,17.46,17.61,0.0,19.691,20.772,34.09,33.511,101170.0,1.48367858629074e-05,1.6003631373030802,1.6002330582055182,-5.863858106526021,6.0197828451074695,-75.94717092998704,-2.828415237606084,6.252893085297141,4.53287020069566,-0.0278070860169263,0.0285464989664102,-0.3601501735592838,-0.0096038721582797,0.1797308758151738,0.0153913418859964,-0.3563602706027733,-0.0590655490404786,-0.0285464989664102,-0.3601501735592838,-0.0278070860169263,-0.0285464989664102,0.0013883357312066999,0.18611838554908058,0.18611838554908058,0.0127685433165537,-638.1,914.8,-337.0,-902.8,7.600000000000001,-695.6999999999999,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,-5.0,0.0,1.6003631373030802,1.6,0.32707341345439134,0.09710816385562826,0.32519830935989225,0.03804261481514966,0.06893214258787729,-0.35169339306319103,-0.0285464989664102,0.3147856794311225,0.09345993309194878,0.3129810206233124,0.034394384051470175,0.059397772254448186,-0.37566110359897464,-0.0323964989664102,,,,,,False,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.06529777225444819,-0.0285464989664102,-0.35201110359897464,-0.0002116642687932,0.1875683855490806,0.0154685433165536,0.1875683855490806,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.14112126475719955,0.008657680251355207,0.013040917240437726,0.0026993595267589482,-0.00396571097909823,0.005953239547660718,40.24350135640034,1.6098904824226912,-0.3712279293073482,0.05869681952227659,-0.03201418808838566,0.18392200366628655,0.001371951990082673,0.012617861818176132,0.0916331091626037,0.0849543927173969,-0.0001513415259752923,-0.00867123070345377,-5.004671230703455,0.0007366591385243612,-0.0001841647846310903,-0.3704912701688238,0.18373783888165546,True,-0.12456718912870962,-0.0021741075902504694,0.0004343777256542913,-5.1292384198321646,0.05913119724793088,True,-0.19981059100782428,-0.003802823237248988,-0.217901771494367,0.03415828169945698,-5.213901771494368,0.14957955718219848,True
8.0,12.0,53.0,8.0,-4.995,0.0,413.7,101161.0,290.67999999999995,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0.0,1.2123845995887763,969.5099735513668,39.991798252437086,444030.19039940194,82.02,82.03,1.03,0.87,0.0,23.786,23.813,31.732,30.434,101161.0,1.485897230570449e-05,2.39953707351704,2.399244554063971,13.93759241652099,8.934983625828313,-73.44884085980564,-2.124256591667887,6.653740646990737,6.014379200644172,0.0661966878525451,0.0424367641390819,-0.3488457580209146,-0.0072241482378736,0.1915508258418861,0.0204536340264445,-0.3532846132175095,0.0355717083591513,-0.0424367641390819,-0.3488457580209146,0.0661966878525451,-0.0424367641390819,0.008099664366782,0.1714430928783923,0.1714430928783923,0.0172635314995845,1514.3,1273.0,-573.3,-1282.0,1645.1,-923.4,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,-5.0,0.0,2.39953707351704,2.4,0.04553364001693702,0.0060134682012961006,0.020138056521780502,0.0415851765604474,0.0721873187060853,-0.3483221725125102,-0.0424367641390819,-0.016867464746895322,-0.002227626933717766,-0.007459934200862679,0.03334408142543353,0.05807752077747337,-0.3726897148427657,-0.0462867641390819,,,,,,False,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.06397752077747337,-0.0424367641390819,-0.3490397148427657,0.0064996643667821,0.1728930928783923,0.0199635314995844,0.1728930928783923,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.13889762354958202,0.008521261586156787,0.01185708442866133,0.0025440887014462473,-0.0003093215554926526,0.009454358145953594,40.369895036016345,2.4222231563945638,-0.36574132416070493,0.056994729146430806,-0.04542379822444047,0.16824672458161094,0.007948655014571378,0.0169416719026225,-0.002184756143709294,0.0849543927173969,-0.0001513415259752923,-0.00867123070345377,-5.003671230703453,0.0007366591385243612,-0.0001841647846310903,-0.36500466502218054,0.16806255979697984,True,-0.12456718912870962,-0.0021741075902504694,0.0004343777256542913,-5.128238419832163,0.0574291068720851,True,-0.19981059100782428,-0.003802823237248988,-0.217901771494367,0.03415828169945698,-5.2129017714943675,0.13390427809752287,True
14.0,12.0,58.0,17.0,2.496,0.0,103.96,101160.0,290.57,268.1,288.8,271.3,103.3,158.7,-204.0,0.0,1.2128315782593753,242.52716310066285,19.99838583806929,222189.75821228168,49.21,49.21,0.66,0.72,0.0,22.505,22.863,33.762,32.572,101160.0,1.4849138116813831e-05,1.999944180859678,1.999944180859678,2.5767467469310907,2.137724556013921,26.801435904178973,-0.5173985545754108,-0.9250226123674568,1.3495768238307124,0.0489228930172394,0.0405874849279441,0.5088601675776615,-0.0070339095593826,-0.1064541027068845,0.0183471740272914,0.5105079682031981,0.0267158007438398,-0.0405874849279441,0.5088601675776616,0.0489228930172394,-0.0405874849279441,0.0040359341099927,-0.11335566532207911,-0.11335566532207911,0.015171638134411398,280.3666666666667,294.03333333333336,276.4666666666667,105.03333333333332,137.79999999999998,-207.1,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,20.0,2.5,0.0,1.999944180859678,2.0,0.20812015586843777,0.0395663484212079,0.13250080223173227,0.06628214916504771,0.08845170343335544,0.5071370673266085,-0.0405874849279441,0.12104498239692771,0.023012225452989567,0.07706393072210428,0.04972802619682937,0.06386328595166967,0.49505327766898394,-0.039107127785086994,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.07191328595166967,-0.0405874849279441,0.5078579934312578,0.0036026007766594,-0.120243165322079,0.0185216381344114,-0.120243165322079,20.0,0.0,True,exact_AoS_flipped_dR,0.0,10.0,67.0,0.04373272517726485,0.06222869757779773,0.007219591,0.24507774773080412,0.015250869046588015,0.004879691727816802,0.0017872093146027745,-0.0018456099067305628,0.007161190407872212,20.1415980869058,2.01426616194393,0.4880383782624202,0.06295834390415306,-0.03855298022185148,-0.11174941681253953,0.003978744968802832,0.014956656191767146,0.022603226331776357,0.09027235048587415,0.00038525357046954964,0.02207340363025104,2.5180734036302512,-0.0019926180289261885,0.0004981545072315471,0.486045760233494,-0.11125126230530798,True,0.3170970694654274,0.0055343879105968835,0.0028147814129505216,2.835170473095679,0.06577312531710358,True,0.5086359682666501,0.009680431200713048,0.5546887078008577,-0.08695300183486246,3.0506887078008575,-0.024298260470445518,True
2.0,12.0,49.0,35.0,2.496,0.0,413.86,101166.0,290.54,-771.0,962.8,1381.8,789.4,-903.6,-719.9,0.0,1.213028753275484,969.8877999129204,39.98896818151591,444400.6220198101,123.03,123.03,17.58,17.93,0.0,21.089,22.581,34.074,33.579,101166.0,1.4845535922040316e-05,1.5995781781312823,1.5995781781312823,-6.990728382745571,6.523632102842962,110.93256468921332,-2.7001902292649187,-4.624381133196843,4.712499290059566,-0.0331895766717983,0.0309719640074008,0.5266697058691712,-0.0091791997468383,-0.1330768662458155,0.0160199721565789,0.5247246414124537,-0.0560943649090021,-0.0309719640074008,0.5266697058691712,-0.0331895766717983,-0.0309719640074008,-0.0007135638442168002,-0.11683478554393521,-0.11683478554393521,0.0126351909171814,-758.7333333333333,968.0333333333332,1386.9666666666667,791.1333333333333,-924.5,-723.0,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,1.5995781781312823,1.6,0.3272497892692787,0.09725591222074038,0.32569309287383647,0.04116154731173829,0.06397406539832587,0.5224342458519879,-0.0309719640074008,0.31517579517719485,0.09366762172192757,0.31367653363334924,0.03757325681292547,0.05233917923861408,0.5097857988510749,-0.0294916068645437,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06038917923861408,-0.0309719640074008,0.5225905146133488,-0.0011468971775501,-0.1237222855439351,0.0159851909171814,-0.1237222855439351,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.2598815607102286,0.01594353239197092,0.0,0.0009889203814551597,-0.003970554557771263,0.0042379568236838965,40.15843970209284,1.6063571213863097,0.5054922117343282,0.0518983611024744,-0.029243218652139313,-0.11585076376237546,-0.0007075539700001971,0.012528773098046559,0.09214860700148741,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5177632396418708,-0.001848882807338328,0.000462220701834582,0.5036433289269899,-0.11538854306054089,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8304046259957802,0.05463459458824062,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04289451054869,-0.029657359586928264,True
6.0,12.0,51.0,49.0,2.5,0.0,413.69,101165.0,290.56,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0.0,1.2129332677003728,969.4863594824362,39.98226519445301,444267.4437195616,82.02,82.02,0.56,1.3,0.0,24.587,25.399,31.31,30.092,101165.0,1.4847497008520386e-05,2.398965083082591,2.398965083082591,13.564576907358653,8.13735951383032,108.25829926690729,-1.7090309731480768,-2.950725960654127,5.158883014585127,0.064426617431768,0.0386493844874657,0.5141860360494673,-0.0058121951293063,-0.084948871870768,0.0175446994239085,0.51650689445984,0.0419368176834542,-0.0386493844874657,0.5141860360494674,0.064426617431768,-0.0386493844874657,0.0047444566820065,-0.0962202052320491,-0.0962202052320491,0.014399641709142501,1475.5666666666666,1121.8333333333333,1024.7666666666669,389.03333333333336,873.8000000000001,-791.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,2.398965083082591,2.4,0.04578788165079259,0.006049928966354256,0.020260157266806515,0.047986746649808454,0.07047078820630079,0.5139221418543513,-0.0386493844874657,-0.01652675255564294,-0.0021836712117129075,-0.007312734151812993,0.03975314647174129,0.05419502459118672,0.5014765706876557,-0.0371690273446086,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06224502459118672,-0.0386493844874657,0.5142812864499297,0.0043111233486732,-0.103107705232049,0.0177496417091425,-0.103107705232049,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.25147875094865135,0.015428026523639402,0.0010678233048920637,0.0011289754670968,-0.0003111605092197875,0.008037405957877013,40.30361889093632,2.4182465393340977,0.49351158400032813,0.05333424130714162,-0.03657866913988777,-0.09469193312818136,0.004669100151871971,0.014170931214535876,-0.0021476617293853598,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5217632396418708,-0.001848882807338328,0.000462220701834582,0.4916627011929898,-0.09422971242634678,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8344046259957802,0.05607047479290784,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04689451054869,-0.00849852895273416,True
9.0,12.0,53.0,59.0,2.496,0.0,413.54,101159.0,290.77,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0.0,1.211985376693565,969.1321495590578,39.99058970785869,443764.0522338207,70.31,70.3,-1.01,-1.26,0.0,23.067,22.935,28.808,27.539,101159.0,1.4867434357483653e-05,2.7990909288574315,2.7994890925741966,17.268846134261,7.467939246343539,107.68374833889236,-1.4638838402521142,-2.612897888347991,5.299999175943435,0.0820504751084512,0.0354828549909804,0.5116440695557287,-0.0049803007687443,-0.075250584589141,0.0180312052394468,0.514731923286115,0.0596907155866557,-0.0354828549909804,0.5116440695557287,0.0820504751084512,-0.0354828549909804,0.0046639647942947,-0.0914892545496585,-0.0914892545496585,0.014882745774634198,1878.1666666666667,1096.7333333333331,924.8666666666668,348.53333333333336,1200.6,-813.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,0.0,40.0,2.5,0.0,2.7990909288574315,2.8,-0.1411306679761846,-0.013697299786848601,-0.04586986877953013,0.0459934157998071,0.06836617043815135,0.5122405820377555,-0.0354828549909804,-0.20045875247197653,-0.019455329354564368,-0.06515250585471266,0.04023538623209133,0.05456360371833177,0.49968662639334943,-0.0340024978481233,,,,,,False,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.06261360371833177,-0.0354828549909804,0.5124913421556233,0.0042306314609614,-0.0983767545496584,0.0182327457746342,-0.0983767545496584,40.0,0.0,True,exact_AoS_exact_dR,0.0,-10.0,329.0,0.03769917476265525,0.06134922519473465,0.007219591,0.2496867245963668,0.015318087095398197,0.0015463418602783205,0.0011917376834192004,0.0007540311439920666,0.009165359827411268,40.357117852241586,2.8247456044100527,0.49065141624037706,0.053576998113421,-0.03338767308084617,-0.08983496844726392,0.004579632134910406,0.01461363964166111,-0.01913212260499227,0.0849543927173969,0.0003798401876512003,0.021763239641870987,2.5177632396418708,-0.001848882807338328,0.000462220701834582,0.48880253343303876,-0.08937274774542935,True,0.31264138635390964,0.0054566215698753934,0.0027362334857662174,2.8304046259957802,0.05631323159918722,True,0.5014888801603589,0.009544406815858462,0.5468945105486899,-0.08573118347361262,3.04289451054869,-0.003641564271816722,True
